id,student_name,top_career_1,confidence_1,top_career_2,confidence_2,top_career_3,confidence_3,predicted_score,is_at_risk,risk_probability,risk_level
931,Timothy Booth,Software Engineer,36.5%,Banker,14.8%,Scientist,9.8%,81.9,False,1.9%,Low
957,Madison Callahan,Doctor,32.0%,Software Engineer,21.2%,Stock Investor,12.8%,81.4,False,4.2%,Low
958,Connor Olson,Banker,24.2%,Government Officer,22.7%,Teacher,10.8%,82.5,True,92.8%,High
965,Laura Walker,Artist,38.6%,Real Estate Developer,22.0%,Government Officer,11.6%,83.6,False,3.7%,Low
967,Beth Bonilla,Designer,27.3%,Lawyer,14.3%,Writer,10.6%,77.8,False,2.2%,Low
969,Jennifer Cummings,Real Estate Developer,16.9%,Government Officer,15.0%,Designer,14.7%,85.8,False,2.1%,Low
980,Annette Logan,Software Engineer,19.9%,Banker,18.2%,Accountant,11.8%,83.4,False,1.6%,Low
986,Lance Nelson,Construction Engineer,29.2%,Writer,14.9%,Lawyer,14.5%,92.4,False,1.5%,Low
991,Victoria Garcia,Teacher,50.4%,Government Officer,17.9%,Designer,8.7%,77.9,False,4.3%,Low
1008,Austin Matthews,Banker,20.0%,Construction Engineer,18.5%,Accountant,16.9%,80.1,False,1.0%,Low
1010,Joanna Dominguez,Designer,26.5%,Banker,21.9%,Software Engineer,13.5%,74.6,True,60.0%,Moderate
1014,Brendan Rivera,Writer,31.6%,Designer,13.7%,Lawyer,12.3%,79.3,False,5.6%,Low
1018,Sarah Tucker,Teacher,21.7%,Designer,19.6%,Writer,15.7%,77.0,False,6.2%,Low
1029,Jill Armstrong,Designer,20.9%,Government Officer,17.7%,Real Estate Developer,16.3%,80.4,False,2.1%,Low
1034,Joseph Petersen,Software Engineer,25.8%,Construction Engineer,15.5%,Banker,15.2%,81.0,False,1.3%,Low
1051,Chelsea Taylor,Teacher,40.3%,Designer,16.6%,Government Officer,15.0%,81.7,False,2.8%,Low
1055,Rebecca Carpenter,Lawyer,56.0%,Software Engineer,12.7%,Construction Engineer,10.1%,84.3,False,1.0%,Low
1065,Richard Burke,Banker,30.4%,Software Engineer,20.6%,Accountant,17.9%,78.1,False,1.3%,Low
1066,Donald Contreras,Lawyer,41.6%,Designer,21.8%,Writer,10.6%,80.1,False,2.4%,Low
1070,David Mendoza,Real Estate Developer,29.8%,Artist,28.6%,Government Officer,20.5%,75.6,False,20.5%,Low
1072,Cindy Hamilton,Designer,43.6%,Banker,16.1%,Lawyer,10.7%,76.4,False,11.3%,Low
1078,Ross Sanchez,Lawyer,17.3%,Accountant,15.4%,Banker,14.6%,80.7,False,1.3%,Low
1082,Regina Hernandez,Government Officer,26.6%,Teacher,23.1%,Real Estate Developer,19.3%,77.7,False,16.3%,Low
1099,Steven Allen,Doctor,30.5%,Software Engineer,19.2%,Scientist,16.3%,84.1,False,1.1%,Low
1116,Jillian Dominguez,Writer,16.4%,Construction Engineer,16.1%,Doctor,14.0%,93.6,False,0.8%,Low
1119,Brittany Spencer,Artist,34.1%,Business Owner,26.6%,Real Estate Developer,15.3%,79.7,False,4.5%,Low
1126,Andrew Hunter,Writer,37.6%,Lawyer,18.3%,Banker,12.9%,77.5,False,5.0%,Low
1129,Brittany Simmons,Accountant,27.4%,Lawyer,25.4%,Banker,20.3%,76.9,False,8.3%,Low
1149,Ronnie Nguyen,Banker,32.7%,Software Engineer,22.0%,Stock Investor,13.8%,83.2,False,1.6%,Low
1151,Brandon Oliver,Software Engineer,25.2%,Accountant,22.2%,Lawyer,12.6%,78.7,False,2.9%,Low
1152,David Vazquez,Teacher,18.1%,Designer,16.5%,Banker,14.7%,80.0,False,1.1%,Low
1162,Jessica Ferrell,Business Owner,54.8%,Real Estate Developer,21.2%,Artist,15.2%,71.4,True,95.0%,High
1178,Mark Stevens,Designer,23.0%,Lawyer,21.3%,Writer,15.3%,82.5,False,2.2%,Low
1179,Scott Tate,Teacher,31.1%,Government Officer,22.4%,Real Estate Developer,15.3%,78.2,False,6.3%,Low
1182,Brent Burton,Stock Investor,19.4%,Government Officer,17.9%,Teacher,17.7%,80.2,False,3.3%,Low
1186,Nancy Fowler,Banker,20.4%,Government Officer,14.0%,Stock Investor,12.3%,82.4,False,2.2%,Low
1208,Sean Erickson,Designer,20.0%,Accountant,19.7%,Teacher,16.5%,73.0,True,86.0%,High
1216,Jessica Smith,Software Engineer,33.5%,Construction Engineer,21.0%,Stock Investor,10.6%,81.0,False,2.2%,Low
1219,Michelle Dixon,Software Engineer,32.0%,Accountant,18.7%,Construction Engineer,15.6%,78.5,False,1.3%,Low
1230,Justin Brooks,Game Developer,50.3%,Business Owner,15.2%,Artist,12.2%,80.0,False,5.8%,Low
1240,Christie Lane,Scientist,24.6%,Doctor,20.7%,Lawyer,19.7%,93.3,False,1.3%,Low
1264,Amanda Edwards,Lawyer,23.8%,Banker,18.6%,Accountant,12.3%,82.5,False,0.5%,Low
1312,Martin Garcia,Artist,37.9%,Real Estate Developer,25.2%,Business Owner,16.1%,75.6,False,12.1%,Low
1328,Roberto Martin,Teacher,50.6%,Writer,15.1%,Government Officer,11.3%,79.9,False,0.9%,Low
1333,John Jensen,Accountant,35.5%,Designer,11.8%,Banker,11.2%,75.4,False,6.4%,Low
1345,Jeremy Ward,Teacher,19.0%,Banker,17.7%,Government Officer,16.4%,80.6,False,1.5%,Low
1349,Rachel Williams,Teacher,42.8%,Designer,9.3%,Government Officer,8.6%,78.9,True,88.4%,High
1358,Alyssa Miller,Accountant,15.9%,Designer,13.0%,Banker,12.7%,75.8,False,3.9%,Low
1359,Lisa Best,Writer,40.1%,Lawyer,19.7%,Banker,8.4%,78.5,False,6.0%,Low
1368,Jorge Lee,Teacher,17.1%,Stock Investor,15.4%,Construction Engineer,14.5%,82.2,False,1.6%,Low
1379,Hector Garcia,Lawyer,23.6%,Accountant,16.6%,Writer,13.4%,78.2,False,9.0%,Low
1408,Kyle Rojas,Designer,25.6%,Lawyer,20.5%,Stock Investor,10.7%,75.7,True,65.6%,Moderate
1412,John Lin,Designer,16.3%,Banker,15.7%,Lawyer,15.6%,76.5,False,4.1%,Low
1422,Misty Stewart,Lawyer,31.3%,Software Engineer,21.5%,Banker,17.7%,83.2,False,0.5%,Low
1439,Jessica Mathews,Banker,25.6%,Accountant,15.8%,Construction Engineer,13.2%,82.6,False,0.8%,Low
1449,Dana Lambert,Game Developer,68.6%,Business Owner,7.4%,Government Officer,6.7%,79.9,False,2.6%,Low
1458,James Clarke,Real Estate Developer,20.3%,Designer,19.4%,Government Officer,16.6%,76.0,False,4.4%,Low
1469,Kimberly Dyer,Software Engineer,20.9%,Construction Engineer,16.1%,Banker,15.6%,82.0,False,0.5%,Low
1479,Kevin Holt,Lawyer,28.5%,Banker,20.9%,Writer,14.6%,80.8,False,3.3%,Low
1506,Samantha Hopkins,Government Officer,32.8%,Designer,10.2%,Teacher,10.2%,83.5,False,3.8%,Low
1508,Jessica Jones,Teacher,20.6%,Banker,18.8%,Software Engineer,12.5%,84.5,False,2.0%,Low
1516,Hayley Johnson,Lawyer,34.8%,Writer,27.4%,Designer,8.9%,83.6,False,2.8%,Low
1525,Chad Moreno,Banker,22.8%,Lawyer,20.4%,Designer,15.2%,76.2,True,66.6%,Moderate
1534,Michael Harrington,Designer,27.1%,Accountant,14.4%,Writer,12.7%,73.7,True,61.9%,Moderate
1540,Kimberly Cooper,Government Officer,25.1%,Real Estate Developer,23.9%,Teacher,17.6%,74.2,True,74.0%,Moderate
1542,Stephanie Yu,Business Owner,50.1%,Artist,29.0%,Real Estate Developer,10.5%,76.7,True,57.3%,Moderate
1550,Heidi Ellis,Artist,30.7%,Business Owner,23.0%,Real Estate Developer,22.3%,79.8,False,6.4%,Low
1573,Katherine Reyes,Government Officer,25.1%,Teacher,14.5%,Banker,13.6%,79.0,False,14.9%,Low
1580,Luis Klein,Writer,37.6%,Lawyer,14.1%,Designer,8.8%,81.6,False,1.5%,Low
1590,Donna Hoffman,Teacher,28.4%,Designer,18.9%,Government Officer,12.3%,81.6,False,1.0%,Low
1614,Evan Francis,Construction Engineer,30.0%,Software Engineer,20.0%,Banker,10.1%,83.0,False,0.9%,Low
1618,Kayla Krueger,Government Officer,21.8%,Real Estate Developer,21.8%,Teacher,19.8%,77.9,False,2.2%,Low
1633,Thomas Smith,Teacher,22.6%,Government Officer,21.8%,Designer,17.7%,77.6,False,6.5%,Low
1635,Robin Daniel,Software Engineer,34.6%,Stock Investor,23.6%,Accountant,10.9%,78.6,False,2.2%,Low
1638,Jennifer Stewart,Designer,19.8%,Banker,15.0%,Writer,11.3%,76.3,False,9.3%,Low
1640,David Bates,Teacher,41.8%,Government Officer,23.0%,Real Estate Developer,14.8%,79.7,False,3.8%,Low
1659,Eric Ross,Government Officer,18.8%,Banker,14.8%,Designer,14.6%,81.1,False,0.9%,Low
1685,Christine Rivera,Designer,19.4%,Teacher,19.4%,Writer,14.3%,76.6,True,60.0%,Moderate
1698,Mark Gardner,Doctor,24.8%,Lawyer,18.0%,Software Engineer,15.4%,92.8,False,0.5%,Low
1706,Deborah Miller,Lawyer,32.5%,Stock Investor,13.3%,Software Engineer,11.4%,78.2,False,1.7%,Low
1707,David Hoffman,Banker,22.1%,Government Officer,22.0%,Teacher,15.8%,81.2,False,1.5%,Low
1715,Samantha Anderson,Game Developer,25.6%,Business Owner,22.9%,Artist,20.4%,76.3,False,5.6%,Low
1741,Toni Smith,Lawyer,31.9%,Accountant,13.9%,Designer,13.4%,78.0,False,1.0%,Low
1747,Bonnie Brown,Teacher,33.8%,Government Officer,32.0%,Real Estate Developer,13.2%,82.4,False,5.2%,Low
1750,Dana Peters,Artist,40.2%,Business Owner,24.0%,Real Estate Developer,18.7%,78.9,False,6.9%,Low
1790,Debra Evans,Banker,26.7%,Accountant,16.5%,Lawyer,13.4%,80.0,False,0.9%,Low
1805,Tyler Moore,Software Engineer,31.0%,Lawyer,15.1%,Banker,14.1%,83.3,False,1.3%,Low
1809,Alan Santos,Scientist,26.2%,Doctor,20.8%,Lawyer,15.0%,91.1,False,0.9%,Low
1815,Joshua Ayala,Software Engineer,28.4%,Stock Investor,21.0%,Banker,13.6%,78.2,False,0.8%,Low
1839,Heather Gutierrez,Software Engineer,25.1%,Banker,24.0%,Stock Investor,14.6%,83.4,False,0.9%,Low
1841,Danielle Kelley,Software Engineer,48.1%,Stock Investor,14.1%,Lawyer,10.7%,82.9,False,0.7%,Low
1857,Michelle Brown,Writer,26.1%,Construction Engineer,15.1%,Doctor,13.9%,92.1,False,1.4%,Low
1868,Gregory Lee,Software Engineer,36.6%,Banker,21.5%,Accountant,12.0%,82.0,False,0.3%,Low
1885,Richard Davis,Teacher,30.5%,Real Estate Developer,18.7%,Government Officer,17.7%,75.5,False,29.9%,Low
1900,Brian Chan,Writer,40.3%,Teacher,10.5%,Designer,8.7%,79.7,False,1.7%,Low
1908,Wendy Burch,Government Officer,21.4%,Real Estate Developer,18.7%,Banker,15.5%,78.2,False,4.5%,Low
1931,James Hudson,Artist,36.0%,Game Developer,15.6%,Real Estate Developer,15.0%,81.1,False,3.5%,Low
1934,Christopher Montgomery,Designer,25.4%,Accountant,17.4%,Writer,11.1%,76.2,False,14.2%,Low
1942,Lisa Palmer,Real Estate Developer,29.9%,Artist,26.7%,Government Officer,18.6%,76.9,False,22.8%,Low
1944,Jennifer Johnson,Government Officer,27.2%,Teacher,21.1%,Stock Investor,14.3%,79.2,False,39.5%,Low
1947,Melissa Finley,Accountant,16.0%,Construction Engineer,15.6%,Software Engineer,15.2%,80.0,False,5.4%,Low
1962,Sabrina Perez,Business Owner,37.0%,Artist,26.0%,Real Estate Developer,15.6%,79.4,False,18.3%,Low
1968,Tiffany Smith,Software Engineer,38.5%,Stock Investor,15.5%,Accountant,12.4%,79.8,False,0.6%,Low
1989,Charles Miller,Real Estate Developer,25.5%,Business Owner,24.3%,Government Officer,20.0%,79.8,False,14.2%,Low
